countrycode,name,capital,population
HUN,Budapest,true,1706851
HRV,Zagreb,true,769944
SWE,Stockholm,true,978770
SWE,Gothenburg,false,587549
SWE,Malmö,false,351749
ESP,Madrid,true,3305408
ESP,Barcelona,false,1636732
ESP,Valencia,false,789744
ESP,Seville,false,684234
ESP,Zaragoza,false,675301
ESP,Málaga,false,577405
ESP,Murcia,false,460349
ESP,Palma de Mallorca,false,419366
ESP,Las Palmas,false,378675
ESP,Bilbao,false,346405
ESP,Alicante,false,337304
ESP,Córdoba,false,322071
NLD,Amsterdam,true,905234
NLD,Rotterdam,false,655418
NLD,The Hague,false,553277
NLD,Utrecht,false,361966
LUX,Luxembourg,true,128514
BEL,Antwerp,true,528903
DEU,Berlin,true,3677472
DEU,Hamburg,false,1853935
DEU,Munich,false,1487708
DEU,Cologne,false,1073096
DEU,Frankfurt am Main,false,759224
DEU,Stuttgart,false,626275
DEU,Düsseldorf,false,619477
DEU,Leipzig,false,601866
DEU,Dortmund,false,586852
DEU,Essen,false,579432
DEU,Bremen,false,563290
DEU,Dresden,false,555351
DEU,Hanover,false,535932
DEU,Nuremberg,false,510632
DEU,Duisburg,false,495152
DEU,Bochum,false,363441
DEU,Wuppertal,false,354572
DEU,Bielefeld,false,334002
DEU,Bonn,false,331885
DEU,Münster,false,317713
DEU,Mannheim,false,311831
DEU,Karlsruhe,false,306502
SVN,Ljubljana,true,279631
MLT,Valletta,true,5730
FIN,Helsinki,true,658864
FIN,Espoo,false,300748
FIN,Tampere,false,245027
FIN,Vantaa,false,241061
FIN,Oulu,false,209934
FIN,Turku,false,195047
IRL,Dublin,true,554554
DNK,Copenhagen,true,644431
DNK,Aarhus,false,355238
BGR,Sofia,true,1307439
BGR,Plovdiv,false,343070
BGR,Varna,false,341737
POL,Warsaw,true,1863056
POL,Kraków,false,802583
POL,Wrocław,false,674312
POL,Łódź,false,664860
POL,Poznań,false,545073
POL,Gdańsk,false,486271
POL,Szczecin,false,394482
POL,Bydgoszcz,false,334026
POL,Lublin,false,332852
LVA,Riga,true,611824
AUT,Vienna,true,1962779
EST,Tallinn,true,437811
PRT,Lisbon,true,545923
PRT,Sintra,false,385654
PRT,Vila Nova de Gaia,false,303854
CYP,Nicosia,true,116392
CYP,Limassol,false,
CZE,Prague,true,1275406
CZE,Brno,false,379466
ITA,Rome,true,2761632
ITA,Milan,false,1371498
ITA,Naples,false,914758
ITA,Turin,false,848885
ITA,Palermo,false,630828
ITA,Genoa,false,560688
ITA,Bologna,false,392203
ITA,Florence,false,367150
ITA,Bari,false,316140
GRC,Athens,true,637798
GRC,Thessaloniki,false,317778
LTU,Vilnius,true,576195
LTU,Kaunas,false,301300
SVK,Bratislava,true,475044
ROU,Bucharest,true,2161347
ROU,Iași,false,391024
ROU,Cluj-Napoca,false,328316
ROU,Timișoara,false,318296
ROU,Constanța,false,306607
ROU,Galați,false,304957
FRA,Paris,true,2139907
FRA,Marseille,false,870731
FRA,Lyon,false,522969
FRA,Toulouse,false,493465
FRA,Nice,false,342669
FRA,Nantes,false,318808
